iter,|u|,lambda,minS11,avgS11,maxS11,avgSlopeFrac
88,   6.520120e+00,   2.740000e+02,   5.427594e+05,   6.417055e+05,  -1.000000e+40,   4.256774e-01
89,   6.643026e+00,   2.770000e+02,   5.445827e+05,   6.452389e+05,  -1.000000e+40,   4.129018e-01
90,   6.766526e+00,   2.800000e+02,   5.462958e+05,   6.486645e+05,  -1.000000e+40,   4.003139e-01
91,   6.890553e+00,   2.830000e+02,   5.479012e+05,   6.519842e+05,  -1.000000e+40,   3.879330e-01
92,   7.015040e+00,   2.860000e+02,   5.494019e+05,   6.551999e+05,  -1.000000e+40,   3.757766e-01
93,   7.139922e+00,   2.890000e+02,   5.508006e+05,   6.583136e+05,  -1.000000e+40,   3.638605e-01
94,   7.265136e+00,   2.920000e+02,   5.521003e+05,   6.613275e+05,  -1.000000e+40,   3.521986e-01
95,   7.390619e+00,   2.950000e+02,   5.533041e+05,   6.642439e+05,  -1.000000e+40,   3.408026e-01
96,   7.516312e+00,   2.980000e+02,   5.544148e+05,   6.670651e+05,  -1.000000e+40,   3.296827e-01
97,   7.642156e+00,   3.010000e+02,   5.554358e+05,   6.697936e+05,  -1.000000e+40,   3.188468e-01
98,   7.768096e+00,   3.040000e+02,   5.563701e+05,   6.724318e+05,  -1.000000e+40,   3.083014e-01
99,   7.894078e+00,   3.070000e+02,   5.572208e+05,   6.749824e+05,  -1.000000e+40,   2.980511e-01
100,   8.020053e+00,   3.100000e+02,   5.579910e+05,   6.774478e+05,  -1.000000e+40,   2.880989e-01
